"","territory_sa4","missing_count","max_date","min_date"
"1","Adelaide - Central and Hills",58,2020-03-01,2015-06-01
"2","Adelaide - North",247,2020-03-01,1999-09-01
"3","Adelaide - South",247,2020-03-01,1999-09-01
"4","Adelaide - West",247,2020-03-01,1999-09-01
"5","Australian Capital Territory",121,2020-03-01,2010-03-01
"6","Ballarat",247,2020-03-01,1999-09-01
"7","Barossa - Yorke - Mid North",34,2020-03-01,2017-06-01
"8","Bendigo",247,2020-03-01,1999-09-01
"9","Brisbane - East",85,2020-03-01,2013-03-01
"10","Brisbane - North",247,2020-03-01,1999-09-01
"11","Brisbane - South",247,2020-03-01,1999-09-01
"12","Brisbane - West",247,2020-03-01,1999-09-01
"13","Brisbane Inner City",247,2020-03-01,1999-09-01
"14","Bunbury",247,2020-03-01,1999-09-01
"15","Cairns",40,2020-03-01,2016-12-01
"16","Capital Region",247,2020-03-01,1999-09-01
"17","Central Coast",247,2020-03-01,1999-09-01
"18","Central Queensland",36,2020-03-01,2017-04-01
"19","Coffs Harbour - Grafton",62,2020-03-01,2015-02-01
"20","Darling Downs - Maranoa",247,2020-03-01,1999-09-01
"21","Darwin",33,2020-03-01,2017-07-01
"22","Far West and Orana",39,2020-03-01,2017-01-01
"23","Geelong",49,2020-03-01,2016-03-01
"24","Gold Coast",247,2020-03-01,1999-09-01
"25","Greater Hobart",247,2020-03-01,1999-09-01
"26","Hume",33,2020-03-01,2017-07-01
"27","Hunter Valley exc Newcastle",34,2020-03-01,2017-06-01
"28","Illawarra",247,2020-03-01,1999-09-01
"29","Ipswich",247,2020-03-01,1999-09-01
"30","Latrobe - Gippsland",63,2020-03-01,2015-01-01
"31","Launceston and North East",130,2020-03-01,2009-06-01
"32","Logan - Beaudesert",247,2020-03-01,1999-09-01
"33","Mackay - Isaac - Whitsunday",247,2020-03-01,1999-09-01
"34","Mandurah",247,2020-03-01,1999-09-01
"35","Melbourne - Inner",247,2020-03-01,1999-09-01
"36","Melbourne - Inner East",247,2020-03-01,1999-09-01
"37","Melbourne - Inner South",247,2020-03-01,1999-09-01
"38","Melbourne - North East",247,2020-03-01,1999-09-01
"39","Melbourne - North West",247,2020-03-01,1999-09-01
"40","Melbourne - Outer East",247,2020-03-01,1999-09-01
"41","Melbourne - South East",247,2020-03-01,1999-09-01
"42","Melbourne - West",247,2020-03-01,1999-09-01
"43","Mid North Coast",247,2020-03-01,1999-09-01
"44","Moreton Bay - North",247,2020-03-01,1999-09-01
"45","Moreton Bay - South",247,2020-03-01,1999-09-01
"46","Mornington Peninsula",247,2020-03-01,1999-09-01
"47","Murray",247,2020-03-01,1999-09-01
"48","New England and North West",34,2020-03-01,2017-06-01
"49","New South Wales - Central West",34,2020-03-01,2017-06-01
"50","Newcastle and Lake Macquarie",247,2020-03-01,1999-09-01
"51","Northern Territory - Outback",35,2020-03-01,2017-05-01
"52","Perth - Inner",247,2020-03-01,1999-09-01
"53","Perth - North East",247,2020-03-01,1999-09-01
"54","Perth - North West",247,2020-03-01,1999-09-01
"55","Perth - South East",34,2020-03-01,2017-06-01
"56","Perth - South West",247,2020-03-01,1999-09-01
"57","Queensland - Outback",33,2020-03-01,2017-07-01
"58","Richmond - Tweed",247,2020-03-01,1999-09-01
"59","Riverina",34,2020-03-01,2017-06-01
"60","Shepparton",247,2020-03-01,1999-09-01
"61","South Australia - Outback",34,2020-03-01,2017-06-01
"62","South Australia - South East",44,2020-03-01,2016-08-01
"63","Southern Highlands and Shoalhaven",247,2020-03-01,1999-09-01
"64","Sunshine Coast",247,2020-03-01,1999-09-01
"65","Sydney - Baulkham Hills and Hawkesbury",247,2020-03-01,1999-09-01
"66","Sydney - Blacktown",247,2020-03-01,1999-09-01
"67","Sydney - City and Inner South",33,2020-03-01,2017-07-01
"68","Sydney - Eastern Suburbs",247,2020-03-01,1999-09-01
"69","Sydney - Inner South West",247,2020-03-01,1999-09-01
"70","Sydney - Inner West",247,2020-03-01,1999-09-01
"71","Sydney - North Sydney and Hornsby",247,2020-03-01,1999-09-01
"72","Sydney - Northern Beaches",247,2020-03-01,1999-09-01
"73","Sydney - Outer South West",247,2020-03-01,1999-09-01
"74","Sydney - Outer West and Blue Mountains",247,2020-03-01,1999-09-01
"75","Sydney - Parramatta",247,2020-03-01,1999-09-01
"76","Sydney - Ryde",247,2020-03-01,1999-09-01
"77","Sydney - South West",247,2020-03-01,1999-09-01
"78","Sydney - Sutherland",247,2020-03-01,1999-09-01
"79","Tasmania - South East",52,2020-03-01,2015-12-01
"80","Tasmania - West and North West",247,2020-03-01,1999-09-01
"81","Toowoomba",247,2020-03-01,1999-09-01
"82","Townsville",34,2020-03-01,2017-06-01
"83","Victoria - North West",34,2020-03-01,2017-06-01
"84","Warrnambool and South West",247,2020-03-01,1999-09-01
"85","Western Australia - Outback (North and South)",33,2020-03-01,2017-07-01
"86","Western Australia - Wheat Belt",34,2020-03-01,2017-06-01
"87","Wide Bay",146,2020-03-01,2008-02-01
